Naam;Breedtegraad (latitude);Lengtegraad (longitude)
Aachen Hbf;50.7677334;6.091267
Aachen West;50.7807171;6.0696064
Herzogenrath;50.8684545;6.0950514
Hazeldonk grens;51.4952904;4.7383405
Lansingerland-Zoetermeer;52.0410702;4.5185034
Waddinxveen Triangel;52.0272134;4.6490359
Boskoop Snijdelwijk;52.067341;4.6462703
Mook Molenhoek;51.7665425;5.8789752
Roosendaal grens;51.452229;4.408096
Venlo grens;51.359978;6.2221033
Herzogenrath grens;50.8714326;6.094601
Visé grens;50.7383248;5.6923093
Utrecht Vaartsche Rijn;52.0782618;5.1229687
Emmerich grens;51.8342608;6.2556203
Gronau grens;52.2153588;7.0199626
Bentheim grens;52.27204115;7.30527633736222
Leer;53.2327625;7.4577265
Weener;53.1645939;7.3536239
Weener grens;53.1645939;7.3536239
Heerlen Woonboulevard;50.8961424;5.9527967
Maastricht Noord;50.8705553;5.7175822
Maarheeze;51.3103841;5.6148653
Nijmegen Goffert;51.8272972;5.8224752
Sliedrecht Baanhoek;51.8293478;4.7429954
Hardinxveld Blauwe Zoom;51.8295797;4.8157538
Boven-Hardinxveld;51.8210379;4.8825493
Halfweg-Zwanenburg;52.3860561;4.7464084
Amsterdam Science Park;52.354525;4.954433
Sassenheim;52.2246479;4.5200498
Utrecht Leidsche Rijn;52.0989682;5.0652431
Kampen Zuid;52.5329839;5.9132744
Dronten;52.5346819;5.7218086
Almere Poort;52.3504547;5.1511459
Houten Castellum;52.017027;5.179021
Hoevelaken;52.1723953;5.4642877
Utrecht Maliebaan;52.0915062;5.1337852
Barneveld Zuid;52.1280783;5.6030939
Westervoort;51.963807;5.9689837
Hengelo Gezondheidspark;52.2616919;6.7679488
Veendam;53.1062782;6.8750998
Geleen Oost;50.9674467;5.8434819
Spaubeek;50.9348612;5.8428501
Schinnen;50.9436467;5.8793607
Nuth;50.9114274;5.8925961
Hoensbroek;50.9201468;5.9244894
Kerkrade Centrum;50.8608527;6.0571855
Chevremont;50.8762291;6.0595563
Eygelshoven;50.8920268;6.0591374
Eygelshoven Markt;50.8960854;6.0578912
Landgraaf;50.8927646;6.0224085
Heerlen De Kissel;50.8899865;5.9940117
Heerlen;50.8881742;5.9794988
Voerendaal;50.8791531;5.9311602
Klimmen-Ransdaal;50.8662625;5.8901666
Schin op Geul;50.8537836;5.873265
Valkenburg;50.8684771;5.826448
Houthem-Sint Gerlach;50.8733866;5.7965849
Meerssen;50.8849427;5.7526367
Eijsden;50.7773424;5.7077516
Maastricht Randwyck;50.8376306;5.7176194
Maastricht;50.8513682;5.6909725
Bunde;50.8967761;5.7366435
Beek-Elsloo;50.9477918;5.7872368
Geleen-Lutterade;50.9753479;5.8244583
Sittard;51.0006238;5.8864788
Susteren;51.0640999;5.8527448
Echt;51.1034765;5.874584
Venlo;51.3703748;6.1724031
Tegelen;51.3437209;6.1373536
Reuver;51.2862173;6.0828226
Swalmen;51.2295456;6.046671
Roermond;51.1913202;5.9877715
Weert;51.2439415;5.7142222
Heeze;51.3809718;5.5758263
Geldrop;51.4228919;5.5571356
Oisterwijk;51.5654243;5.2030282
Vught;51.653306;5.2943466
Boxtel;51.601437;5.3121773
Best;51.5100848;5.3884043
Eindhoven Strijp-S;51.450363;5.4570243
Eindhoven;51.441642;5.4697225
Helmond Brandevoort;51.4624634;5.6088392
Helmond 't Hout;51.468038;5.6313497
Helmond;51.4792547;5.6570096
Helmond Brouwhuis;51.4706097;5.7018819
Deurne;51.4642201;5.7950679
Horst-Sevenum;51.4270926;6.0413246
Blerick;51.3690094;6.148377
Venray;51.5256257;5.9736992
Vierlingsbeek;51.5964371;6.0071434
Boxmeer;51.6452689;5.9566657
Cuijk;51.7289266;5.879209
Nijmegen Heyendaal;51.8267778;5.8679526
's-Hertogenbosch Oost;51.706335;5.387125
Rosmalen;51.7171488;5.3608099
Oss West;51.7585032;5.506868
Oss;51.7611801;5.5140482
Ravenstein;51.7967784;5.6515008
Wijchen;51.8136739;5.7528948
Nijmegen Dukenburg;51.8238781;5.7941469
Nijmegen;51.8125626;5.8372264
Nijmegen Lent;51.8625632;5.8597968
Zaltbommel;51.8135539;5.2507733
's-Hertogenbosch;51.6978162;5.3036748
Tilburg;51.560596;5.0919143
Tilburg Universiteit;51.5652341;5.0516776
Tilburg Reeshof;51.5508275;4.9598007
Gilze-Rijen;51.5598545;4.9092542
Breda-Prinsenbeek;51.6057193;4.7214222
Breda;51.5719149;4.768323
Etten-Leur;51.5868855;4.6671384
Vlissingen;51.4536672;3.5709125
Vlissingen Souburg;51.4647139;3.5950865
Middelburg;51.4987962;3.610998
Arnemuiden;51.5011231;3.6759015
Goes;51.5046455;3.8911304
Kapelle-Biezelinge;51.4805125;3.9566104
Kruiningen-Yerseke;51.4650521;4.037626
Krabbendijke;51.4308295;4.1121385
Rilland-Bath;51.4226196;4.1607921
Bergen op Zoom;51.4945758;4.2871622
Roosendaal;51.535849;4.4653213
Oudenbosch;51.5832716;4.5275943
Zevenbergen;51.6415521;4.6097006
Lage Zwaluwe;51.7102543;4.7042699
Dordrecht Zuid;51.79017;4.6715744
Beesd;51.8874751;5.1940016
Leerdam;51.8943133;5.096927
Arkel;51.8657393;4.9974993
Gorinchem;51.8372247;4.9758292
Hardinxveld-Giessendam;51.8324299;4.8336405
Sliedrecht;51.8248681;4.7731624
Dordrecht Stadspolders;51.8019721;4.7162093
Dordrecht;51.8132979;4.6900929
Zwijndrecht;51.8105978;4.6272719
Barendrecht;51.8515088;4.5485809
Rotterdam Lombardijen;51.8803596;4.5310527
Rotterdam Stadion;51.8938651;4.5196978
Rotterdam Zuid;51.9051304;4.5096277
Rotterdam Blaak;51.9189894;4.4864084
Nieuwerkerk aan den IJssel;51.9747541;4.6158773
Capelle Schollevaar;51.9541176;4.5840957
Rotterdam Alexander;51.951716;4.552473
Rotterdam Noord;51.9319288;4.4599271
Rotterdam Centraal;51.9244818;4.4694783
Hoek van Holland Strand;51.9820271;4.1192051
Hoek van Holland Haven;51.9762425;4.1274617
Maassluis West;51.9260714;4.235402
Maassluis;51.9226067;4.2545656
Vlaardingen West;51.9039984;4.3143131
Vlaardingen Centrum;51.9031357;4.3438134
Vlaardingen Oost;51.9101566;4.3616809
Schiedam Nieuwland;51.9227659;4.383435
Schiedam Centrum;51.921497;4.4094658
Delft;52.0115769;4.3570677
Rijswijk;52.0376977;4.3219738
Den Haag Moerwijk;52.054519;4.3085449
Den Haag HS;52.0694594;4.3215428
De Vink;52.1470409;4.4556372
Voorschoten;52.1237896;4.4385976
Den Haag Mariahoeve;52.0909985;4.3700691
Den Haag Laan van NOI;52.0792112;4.343651
Den Haag Centraal;52.0809271;4.3244199
Voorburg;52.0761581;4.3625406
Den Haag Ypenburg;52.0623605;4.3766484
Zoetermeer;52.060669;4.494025
Zoetermeer Oost;52.0463461;4.4934339
Castricum;52.5452585;4.6727354
Heiloo;52.6012341;4.7004931
